,sid,filename,begin,end,transcript,description,caption,chars_query,selected_character,chars_all
8591,179-364,5544574287152993687.xml,1169.04,1175.03,"Er, what are you doing with that?  You ARE joking?  PHONE RINGS  Alfie, I've got to get this.",,a man is kissing a woman on her forehead,Janine,,
8592,179-365,5544574287152993687.xml,1175.04,1196.0,"It's not like I haven't  got experience. So, er, what's all this then?  Well, you need staff.  I am offering.  That's not a bad idea, considering we're going to be rushed off our feet tomorrow. Really? Kat might have other ideas.  I think you can make her change her mind. Think about it, baby. We'll be  together all the time and I can't think of anything more wonderful.",,a man and a woman are standing in a kitchen,Janine Ryan,Janine Ryan,Ryan Alfie
8593,179-366,5544574287152993687.xml,1196.01,1199.03,"And also, Alfie, I did use to know  this place inside out. Let's see how it goes then, yeah?",,a man and a woman are standing in a room,,,
8594,179-367,5544574287152993687.xml,1199.04,1203.1,"Well, don't we need to talk  about money?",,a woman is talking to a man and he is smiling,,,
8595,179-368,5544574287152993687.xml,1203.11,1205.17,Who was that on the phone?  It was Jean. Again.,,a woman is sitting at a table and smiling,Ryan,Ryan,
8596,179-369,5544574287152993687.xml,1205.18,1207.17,I wish everyone would stop worrying. ,,a man is kissing a woman on the cheek,,,
8597,179-370,5544574287152993687.xml,1207.18,1208.15,Hang on a minute!  What's the problem?,,a man and a woman are standing in a room,Stacey,,
8598,179-371,5544574287152993687.xml,1208.16,1210.11,,,a woman is talking to a man and he is smiling,Ryan,,
8599,179-372,5544574287152993687.xml,1210.12,1212.03,"Can I talk to you out the back?  All right. Excuse me, guys.",,a man is walking in a room with a woman,Ryan,,
8600,179-373,5544574287152993687.xml,1212.04,1213.08,,,a man is dancing in a room,,,
8601,179-374,5544574287152993687.xml,1213.09,1213.16,,,a man is walking through a door and then he looks away,,,
8602,179-375,5544574287152993687.xml,1213.17,1215.13,"She's a barmaid, so what's the  problem? That's not what it's about.",,a man is dancing in a room with other people,Ryan,,
8603,179-376,5544574287152993687.xml,1215.14,1216.05,,,a woman is holding a phone and talking to someone,,,
8604,179-377,5544574287152993687.xml,1216.06,1216.23,,,a man is sitting on a couch and is talking,,,
8605,179-378,5544574287152993687.xml,1216.24,1217.19,,,a woman is smiling and waving her hand,,,
8606,179-379,5544574287152993687.xml,1217.2,1218.18,"What, then?  Over here.",,a man is walking in a room with a cat,,,
8607,179-380,5544574287152993687.xml,1218.19,1218.22,,,a man is looking at a cat and then he turns away,,,
8608,179-381,5544574287152993687.xml,1218.23,1220.17,,,a man is dancing in a room with a woman,,,
8609,179-382,5544574287152993687.xml,1220.18,1224.24,The phone call. It was Stacey.  And?  She's all right.,,a man and a woman are kissing in a bedroom,,,
8610,179-383,5544574287152993687.xml,1225.0,1231.16,"That's all good then, isn't it?  Where is she? She made me promise not to tell. Kat, this is me, sweetheart.  Not Jean, not Ryan, no-one.",,a woman is kissing a man on the cheek,Stacey Ryan,,
8611,179-384,5544574287152993687.xml,1231.17,1232.24,,,a man is holding a microphone and singing,,,Alfie
8612,179-385,5544574287152993687.xml,1233.0,1236.18,You sound worried.  She sounds terrible.,,a woman is holding a cell phone and smiling,Stacey Ryan,,
8613,179-386,5544574287152993687.xml,1236.19,1240.14,Like really scared.  Say that again.  I know what you're doing.,,a man is walking down a hallway and then stops,Ryan,,
8614,179-387,5544574287152993687.xml,1240.15,1243.07,"Oh, yeah, so what am I doing?  Apart from just about to change an oil filter.",,a man is talking to a woman and she is smiling,,,
8615,179-388,5544574287152993687.xml,1243.08,1246.19,I know you're lying about something. ,,a man is talking to a woman and she is smiling,Ryan,,
8616,179-389,5544574287152993687.xml,1246.2,1248.01,"You want to know what I'm doing, eh?  You really want to know?",,a man is talking to a woman and she is smiling,,,
8617,179-390,5544574287152993687.xml,1248.02,1250.13,"No, I don't want to know,  but I think I better had.",,a woman is talking to a man and he is smiling,Ryan,,
8618,179-391,5544574287152993687.xml,1250.14,1252.22,,,a man is talking to a woman and she is smiling,,,
8619,179-392,5544574287152993687.xml,1252.23,1259.05,"OK, if that's how  you want to play it. Look, Phil, you're frightening me.  Well, you want to know what I'm  doing. I'm going to show you.",,a man is walking away from a woman,Ryan,,Julie Phil
8620,179-393,5544574287152993687.xml,1259.06,1261.08,,,a woman with long hair is smiling and talking,Ryan,,
8621,179-394,5544574287152993687.xml,1261.09,1273.18,,,a man is standing in a kitchen with a woman,Ryan,,
8622,179-395,5544574287152993687.xml,1273.19,1275.19,"Right, I'm Jack Nicholson,  you're Jessica Lange.",,a man is talking to a woman and she is smiling,,,
8623,179-396,5544574287152993687.xml,1275.2,1278.06,I know Ian Beale is putting in  an offer for the Argee Bhajee.,,a man is dancing in a kitchen,Ryan,,
8624,179-397,5544574287152993687.xml,1278.07,1278.22,,,a man is dancing in a room with a lot of people,,,
8625,179-398,5544574287152993687.xml,1278.23,1293.11,"How? Who told you? Have you been  doing something behind my back? What does it matter how?  The fact is, that he is. So what?  So what? Does it not make  any difference to you whatsoever? Ian Beale can do whatever he likes.  What, so we're just going to stand  back and let him do it, are we?",,a woman is talking to a man and he is smiling,Stacey Ryan,Ryan,
8626,179-399,5544574287152993687.xml,1293.12,1295.22,,,a man is talking to a woman in a red dress,,,
8627,179-400,5544574287152993687.xml,1295.23,1298.01,"How many times have I told you?  Repeat after me, we are not buying the Argee Bhajee!",,a man is talking to a woman and she is smiling,Ryan,,
8628,179-401,5544574287152993687.xml,1298.02,1301.15,You know your problem?  You've no ambition.,,a man is talking to a woman and she is smiling,Ryan,,
8629,179-402,5544574287152993687.xml,1301.16,1304.19,,,a man in a suit is looking at something,Ryan,,
8630,179-403,5544574287152993687.xml,1304.2,1308.11,Mum will either be really stiff and  formal or else she'll just gush.,,a man is walking down a street and talking to another man,Ryan,,
8631,179-404,5544574287152993687.xml,1308.12,1308.23,,,a man is running down a street and then falls,,,
8632,179-405,5544574287152993687.xml,1308.24,1335.0,"Which is better?  They're both pretty bad  but just play the nice Asian girl and she'll be all right. What happened to tearing up  all the rules? I know, I just...  I need to do this today. Just to get them off my back.  We'll tear up the rules tomorrow.  And your dad?  Dad? He'll probably just fancy you.  What?  No, I don't mean like that.  I mean, he'll probably just  come across a bit smarmy or...",,a man is walking down a street and smiling,Ryan,Ryan,
8633,179-406,5544574287152993687.xml,1335.01,1342.05,"He won't do anything.  Look, I'm just warning you.",,a man is walking down a sidewalk and then he stops,Ryan,,
8634,179-407,5544574287152993687.xml,1342.06,1344.04,You ready? ,,a man in a suit is walking down a hallway,,,
8635,179-408,5544574287152993687.xml,1344.05,1351.21,Ready. ,,a man is walking down a hallway and then he stops,Ryan,,
8636,179-409,5544574287152993687.xml,1351.22,1354.19,"Every idea I ever have...  What are you talking about, woman? You have to spoil it, don't you?",,a man is kissing a woman s hand,Ryan,,
8637,179-410,5544574287152993687.xml,1354.2,1355.08,,,a man is looking through a door,,,
8638,179-411,5544574287152993687.xml,1355.09,1359.02,I just want to make  RATIONAL business decisions. Not ones based on emotion and pride.,,a man is walking through a door and then falls,,,
8639,179-412,5544574287152993687.xml,1359.03,1363.23,,,a man is talking to a woman and she is smiling,Ryan,,
8640,179-413,5544574287152993687.xml,1363.24,1366.06,"What do I say to Bushra, huh?  Seriously what? You don't have the first idea.  I give up on you, Oh, right.",,a man is talking to a woman and she is smiling,Ryan,,
8641,179-414,5544574287152993687.xml,1366.07,1367.0,,,a man and a woman are walking down a hallway,Ryan,,
8642,179-415,5544574287152993687.xml,1367.01,1368.19,,,a man and a woman are kissing in a hallway,Ryan,,
8643,179-416,5544574287152993687.xml,1368.2,1369.13,,,a man is kissing a woman s forehead,Ryan,Ryan,
8644,179-417,5544574287152993687.xml,1369.14,1375.05,"Oh, hello! Afia. We were expecting  you. Please come through. Mas! What?  We have a visitor!",,a man is walking in a room with a woman,Ryan,,
8645,179-418,5544574287152993687.xml,1375.06,1375.14,,,a pair of black and white legs are on a dirt road,,,
8646,179-419,5544574287152993687.xml,1375.15,1377.04,,,a man is walking and then he <unk>,,,
8647,179-420,5544574287152993687.xml,1377.05,1379.15,"I don't get it.  You could try and look  a bit more pleased, couldn't you?",,a man is walking away from a woman,,,
8648,179-421,5544574287152993687.xml,1379.16,1381.14,,,a man is talking to a woman and she is smiling,Ryan,,
8649,179-422,5544574287152993687.xml,1381.15,1383.12,Even I know you can't buy  a house for 20 grand.,,a man is looking at a woman and she looks away,Ryan,,
8650,179-423,5544574287152993687.xml,1383.13,1385.05,"No but if you put that 20 grand  to work, you can. What have you done?",,a man is talking to a woman and she is smiling,Ryan,,
8651,179-424,5544574287152993687.xml,1385.06,1387.17,,,a man is kissing a woman s forehead,Ryan,,
8652,179-425,5544574287152993687.xml,1387.18,1390.12,What I always do when  I'm short of a few bob. Do a few deals.  What sort of deal?,,a man is talking to a woman and she is smiling,Ryan,,
8653,179-426,5544574287152993687.xml,1390.13,1395.08,I don't remember you coming over  all moral scruples when we nicked Roxy's money.,,a man is talking to a woman and she is smiling,Ryan,,Phil
8654,179-427,5544574287152993687.xml,1395.09,1399.02,"Look, if this is drug dealing  you could get 50 years for this.",,a man is talking to a woman and she is smiling,Ryan,,
8655,179-428,5544574287152993687.xml,1399.03,1400.04,,,a man and a woman are kissing in a hallway,Ryan,,
8656,179-429,5544574287152993687.xml,1400.05,1402.01,Could I now?  Are you telling me that's what this is?,,a man is talking to a woman and she is smiling,,,
8657,179-430,5544574287152993687.xml,1402.02,1404.01,,,a man is kissing a woman s forehead,Ryan,,
8658,179-431,5544574287152993687.xml,1404.02,1405.23,"It's a bargain. Developer's got money  problems, he needs the cash.",,a man is kissing a woman s hand,,,
8659,179-432,5544574287152993687.xml,1405.24,1406.18,,,a man is jumping on a trampoline and falls,,,
8660,179-433,5544574287152993687.xml,1406.19,1407.16,,,a man is jumping on a trampoline and falls,,,
8661,179-434,5544574287152993687.xml,1407.17,1408.1,You expect me  to believe that this is kosher?,,a man is walking through a door way,,,
8662,179-435,5544574287152993687.xml,1408.11,1409.2,,,a man is talking to a woman while she is talking to him,,,
8663,179-436,5544574287152993687.xml,1409.21,1411.0,"Well, I ain't saying that it ain't.  So what then?",,a man is talking to a woman and she is smiling,,,
8664,179-437,5544574287152993687.xml,1411.01,1413.24,,,a man is kissing a woman s forehead,,,Phil
8665,179-438,5544574287152993687.xml,1414.0,1414.22,,,a man is kissing a woman s forehead,,,
8666,179-439,5544574287152993687.xml,1414.23,1419.06,"Shirley, do I really have  to spell it out to you? I'm in the motor trade, all right?  Now, do you like the house or not? ",,a man is looking at a woman and she looks away,Ryan,,
8667,179-440,5544574287152993687.xml,1419.07,1422.14,"It's got four bedrooms,  fitted kitchen, new bathroom.",,a man is walking away from a group of people,Ryan,,
8668,179-441,5544574287152993687.xml,1422.15,1424.06,,,a man is kissing a woman s forehead,Ryan,,
8669,179-442,5544574287152993687.xml,1424.07,1425.03,,,a man is talking to a woman and she is smiling,,,
8670,179-443,5544574287152993687.xml,1425.04,1425.19,,,a man is kissing a woman on the forehead,,,
8671,179-444,5544574287152993687.xml,1425.2,1428.23,I love it. ,,a man is kissing a woman s hand,,,
8672,179-445,5544574287152993687.xml,1428.24,1431.12,,,a man is looking at a dog and then he looks away,,,
8673,179-446,5544574287152993687.xml,1431.13,1438.02,"So how is Zulekha these days?  She's very well.  Ah good, good. And what does your father do, Afia?",,a group of people sitting on a couch in a living room,Ryan,Ryan,
8674,179-447,5544574287152993687.xml,1438.03,1439.08,,,a man is sitting in a chair and making faces,,,
8675,179-448,5544574287152993687.xml,1439.09,1441.17,"No, thanks. ",,a woman is smiling and making a face,,,
8676,179-449,5544574287152993687.xml,1441.18,1445.07,He's a doctor.  Ah really? What kind of doctor? ,,a man is talking to a woman and she is smiling,Ryan,,
8677,179-450,5544574287152993687.xml,1445.08,1446.16,A surgeon at the New Free. ,,a woman is sitting on a couch and smiling,,,
8678,179-451,5544574287152993687.xml,1446.17,1447.21,,,a man is sitting in a chair and making faces,,,
8679,179-452,5544574287152993687.xml,1447.22,1450.11,Did you hear that?  He's a surgeon. Wonderful. It would be lovely  to meet him sometime.,,a woman is sitting on a couch and smiling,Ryan,,
8680,179-453,5544574287152993687.xml,1450.12,1456.21,"Oh, he's a very busy man.  Well, he would be, wouldn't he? ",,a man is talking to a woman and she is smiling,Ryan,,
8681,179-454,5544574287152993687.xml,1456.22,1458.09,But in due course.  Absolutely.,,a man is sitting in a chair and talking,,,
8682,179-455,5544574287152993687.xml,1458.1,1460.07,"Listen, Mr and Mrs Masood... ",,a man is talking to a woman and she is smiling,Ryan,,
8683,179-456,5544574287152993687.xml,1460.08,1461.21,,,a woman is sitting on a couch and smiling,Ryan,,
8684,179-457,5544574287152993687.xml,1461.22,1462.16,,,a man is sitting in a chair and making hand gestures,,,
8685,179-458,5544574287152993687.xml,1462.17,1464.15,"Oh, please, Auntie Zainab.  Uncle Masood.",,a woman is talking to a man and he is smiling,Ryan,,
8686,179-459,5544574287152993687.xml,1464.16,1465.16,I'm really sorry  about the other night. I know how it must have come across.,,a man is sitting in a chair and talking,,,
8687,179-460,5544574287152993687.xml,1465.17,1467.15,,,a man is talking to a woman and she is smiling,Ryan,,
8688,179-461,5544574287152993687.xml,1467.16,1469.13,,,a woman is smiling and making a face,Stacey Ryan,,
8689,179-462,5544574287152993687.xml,1469.14,1471.22,"Oh just forget about it.  We already have, haven't we? Don't even mention it again.",,a man is sitting in a chair and talking,,,
8690,179-463,5544574287152993687.xml,1471.23,1473.01,,,a man is talking to a woman and she is smiling,Ryan,,
8691,179-464,5544574287152993687.xml,1473.02,1476.2,"Now tell me, Afia,  what kind of surgery does your father specialise in?",,a woman is sitting on a couch and smiling,,,
8692,179-465,5544574287152993687.xml,1476.21,1478.06,,,a woman with long hair is smiling and talking,Ryan,,
8693,179-466,5544574287152993687.xml,1478.07,1480.18,,,a man is looking at something and smiling,Ryan,,
8694,179-467,5544574287152993687.xml,1480.19,1504.11,"He's bad news, Mum.  I went into this with my eyes open,  Bianca. I do know what Connor's like. Really? You know  he's hanging about with the likes of Phil Mitchell then? Yeah, I do as it happens.  Oh. Yeah, he might have a bit of work for him. I've asked. It's all above board.  He just needs someone  to give him that one chance. He's not Billie, he never will be.  What's that supposed to mean? I though even you'd know  what this is really all about.",,a woman is talking to a man and he is talking to her,Ryan,,
8695,179-468,5544574287152993687.xml,1504.12,1512.13,"Here, have you told her?  Told her what? About the Beale empire  expanding into territories new?",,a woman is pouring wine into a wine glass,Ryan,,
8696,179-469,5544574287152993687.xml,1512.14,1514.12,"No-one's interested, Ian.  This time next year, Walford Businessman of the Year. You mark my words.",,a man is drinking from a bottle and then <unk> it out,Stacey Ryan,,
8697,179-470,5544574287152993687.xml,1514.13,1523.14,"I'm going home.  Mum, just think about what I've said, yeah? What do you want me to do?  Throw him out on the street when he's getting back on his feet?",,a woman is talking on a cell phone while a man looks at her,Ryan,,
8698,179-471,5544574287152993687.xml,1523.15,1525.12,,,a woman is talking to a man and he is smiling,Ryan,,Julie
8699,179-472,5544574287152993687.xml,1525.13,1527.14,,,a woman is talking on a cell phone while a man looks at her,,,Julie
8700,179-473,5544574287152993687.xml,1527.15,1537.16,"I think that went rather well.  Yeah. I mean, you told me  your Dad was a GP. So? We're tearing up the rules, Tam. ",,a group of men are walking down a street,Ryan,,
8701,179-474,5544574287152993687.xml,1537.17,1539.12,,,a man is walking and talking to a woman,Ryan,,
8702,179-475,5544574287152993687.xml,1539.13,1548.23,"Or have you forgotten?  No.  No, I just don't know  why you had to lie? I mean, GP would've been fine. ",,a man is talking to a woman and she is smiling,Ryan,Ryan,
8703,179-476,5544574287152993687.xml,1548.24,1551.08,"GP would've been MORE than fine.  But surgeon sounds so much  more glamorous, don't you think?",,a woman is talking and smiling and laughing,Ryan,,
8704,179-477,5544574287152993687.xml,1551.09,1554.03,,,a woman is talking and smiling and laughing,Ryan,,
8705,179-478,5544574287152993687.xml,1554.04,1557.22,,,a man is talking to a woman and she is smiling,Ryan,,
8706,179-479,5544574287152993687.xml,1557.23,1559.13,,,a woman is sitting on a couch and smiling,,,
8707,179-480,5544574287152993687.xml,1559.14,1563.04,I beg your pardon?  We're having a little celebration.  What's everybody having? Roxy?,,a man is walking in a room with a group of people,Ryan,,Julie
8708,179-481,5544574287152993687.xml,1563.05,1566.07,"I'm all right, cheers. Oi,  where did you get the money from?",,a woman is holding a baby and smiling,,,
8709,179-482,5544574287152993687.xml,1566.08,1569.23,I thought you were as skint as I am. ,,a man is walking in a room with a lot of people,Ryan,,
8710,179-483,5544574287152993687.xml,1569.24,1571.01,"We're only renting, ain't we?  Sure you don't want one, Rox?",,a woman is holding a baby and smiling,,,
8711,179-484,5544574287152993687.xml,1571.02,1572.14,,,a man is dancing in a room with other people,,,
8712,179-485,5544574287152993687.xml,1572.15,1576.1,"Yeah go on then,  I'll have a large G&T.",,a woman is talking and smiling and waving,,,
8713,179-486,5544574287152993687.xml,1576.11,1578.17,,,a man is talking to a woman and she is smiling,,,
8714,179-487,5544574287152993687.xml,1578.18,1580.02,,,a woman is holding her hands to her face and smiling,,,Roxy
8715,179-488,5544574287152993687.xml,1580.03,1581.04,,,a man is talking to a woman and she is smiling,,,
8716,179-489,5544574287152993687.xml,1581.05,1584.19,What you looking at me like that for? ,,a woman is holding a phone and talking to someone,,,Roxy
8717,179-490,5544574287152993687.xml,1584.2,1589.13,"You wouldn't, would you?  Wouldn't what? ",,a woman is talking to a man and he is smiling,Ryan,,
8718,179-491,5544574287152993687.xml,1589.14,1594.13,"The money.  Eh?  Well, it would make sense actually.  Shirley's new coat...",,a woman is talking to a man and he is smiling,Stacey,,
8719,179-492,5544574287152993687.xml,1594.14,1603.17,"What about it?  I've been accusing Julie...  Just hang on a sec, all right.  Now what's my name?",,a man is looking at something and then looks away,Janine,,
8720,179-493,5544574287152993687.xml,1603.18,1605.09,Phil? ,,a man is looking at something and then looks away,,,
8721,179-494,5544574287152993687.xml,1605.1,1611.12,"No, my full name.  Phil Mitchell.  And what's yours?",,a woman is talking to a man and he is smiling,Janine,,
8722,179-495,5544574287152993687.xml,1611.13,1616.05,"All right.  No, no, no hang on, right? Look at the state I was in last  summer. Look at how I am now.",,a man is looking at something and then looks away,,,
8723,179-496,5544574287152993687.xml,1616.06,1622.24,"Do you think that was easy, do you?  And you've got the front  to turn round and say this.. Ok. I've said sorry.  Can we just forget it? Wish I'd never said anything now.",,a woman is smiling and laughing while sitting in a chair,Stacey,,
8724,179-497,5544574287152993687.xml,1623.0,1624.12,,,a man is dancing in a room with other people,Ryan,,
8725,179-498,5544574287152993687.xml,1624.13,1628.18,"How can you stand there  and listen to him? Because, for the first time in ages,  I'm happy.",,a woman is kissing a man on the cheek,,,
8726,179-499,5544574287152993687.xml,1628.19,1635.13,Why can't you be happy for me too?  Why don't you go and grab a table? ,,a man is talking to a woman and she is smiling,,,Phil
8727,179-500,5544574287152993687.xml,1635.14,1636.16,"I'll get these  and bring them over, yeah?",,a woman is walking and talking to a man,,,
8728,179-501,5544574287152993687.xml,1636.17,1637.1,,,a man is walking away from a woman,Ryan,,
8729,179-502,5544574287152993687.xml,1637.11,1638.08,,,a man is talking to another man who is sitting in a chair,,,
8730,179-503,5544574287152993687.xml,1638.09,1640.07,,,a man is talking to a woman and she is smiling,,,
8731,179-504,5544574287152993687.xml,1640.08,1644.01,,,a man and a woman are talking and smiling,Janine,,
8732,179-505,5544574287152993687.xml,1644.02,1646.22,I saw you got my note.  I don't play them kind of games. ,,a man is talking to a woman and she is smiling,,,Phil
8733,179-506,5544574287152993687.xml,1646.23,1648.21,,,a man and a woman are talking to each other,Janine,,
8734,179-507,5544574287152993687.xml,1648.22,1649.16,You're celebrating? ,,a man is kissing a woman s hand,,,
8735,179-508,5544574287152993687.xml,1649.17,1650.23,,,a woman is sitting in a chair and smiling,,,
8736,179-509,5544574287152993687.xml,1650.24,1655.08,"Me and Shirl, we just found ourselves  somewhere to live, that's all. You mean number 55?  The house you just bought?",,a man and a woman are talking to each other,Janine Ryan,,
8737,179-510,5544574287152993687.xml,1655.09,1659.09,And what would you know about it? ,,a man is kissing a woman s hand,,,
8738,179-511,5544574287152993687.xml,1659.1,1661.02,,,a man is talking to a woman and she is smiling,,,
8739,179-512,5544574287152993687.xml,1661.03,1664.21,More than you'd like me to know.  Didn't you hear what I said?  I don't play them sort of games.,,a man is talking to a woman and she is smiling,,,Phil
8740,179-513,5544574287152993687.xml,1664.22,1668.16,I hope you don't think my note  was some kind of threat? You couldn't be more wrong.,,a man and a woman are talking to each other,Janine,,Julie
8741,179-514,5544574287152993687.xml,1668.17,1672.06,,,a man is talking to a woman and she is smiling,,,Phil
8742,179-515,5544574287152993687.xml,1672.07,1674.01,No? ,,a man is talking to a woman and she is smiling,Janine,,
8743,179-516,5544574287152993687.xml,1674.02,1677.24,"Think of it more as a billet-doux.  Well, I don't know  what one of them is.",,a man is talking to a woman and she is smiling,,,Phil
8744,179-517,5544574287152993687.xml,1678.0,1681.06,,,a man is talking to a woman and she is smiling,Janine Ryan,,Phil
8745,179-518,5544574287152993687.xml,1681.07,1683.08,"You're a very intriguing fellow,  you know that?",,a man is talking to a woman and she is smiling,,,Phil
8746,179-519,5544574287152993687.xml,1683.09,1687.01,Am I now.  Sometimes you're downright rude  and then at other times...,,a woman is smiling and talking to someone,Janine,,
8747,179-520,5544574287152993687.xml,1687.02,1688.02,,,a man is looking at a woman and then she looks away,,,
8748,179-521,5544574287152993687.xml,1688.03,1688.19,,,a man is looking at something and then looks away,,,
8749,179-522,5544574287152993687.xml,1688.2,1689.01,,,a man is looking at a woman and smiling,,,Phil
8750,179-523,5544574287152993687.xml,1689.02,1691.07,"Other times, what?  I know when a man  is giving me the eye.",,a woman is talking to a man and smiling,Janine,,
8751,179-524,5544574287152993687.xml,1691.08,1695.09,Don't know what you're talking about. ,,a man is talking to a woman and she is smiling,,,Phil
8752,179-525,5544574287152993687.xml,1695.1,1699.14,This lunchtime. Out there. ,,a woman is smiling and laughing at something,Janine,,
8753,179-526,5544574287152993687.xml,1699.15,1700.17,Don't deny it. We both know. ,,a man and a woman are talking to each other,,,Phil
8754,179-527,5544574287152993687.xml,1700.18,1701.19,,,a woman is smiling and laughing at something,Janine,,
8755,179-528,5544574287152993687.xml,1701.2,1703.08,I think we've always known.  Known what?,,a man and a woman are talking to each other,,,Phil
8756,179-529,5544574287152993687.xml,1703.09,1707.05,,,a woman is smiling and making a face,Janine Ryan,,
8757,179-530,5544574287152993687.xml,1707.06,1708.16,You are a shocking tease. ,,a man is looking at something and then looks away,,,
8758,179-531,5544574287152993687.xml,1708.17,1709.21,,,a woman is sitting at a desk and talking to a man,,,
8759,179-532,5544574287152993687.xml,1709.22,1711.06,,,a man is talking to a woman and she is smiling,,,Phil
8760,179-533,5544574287152993687.xml,1711.07,1714.13,"My missus is over there.  Mmm, ",,a woman is smiling and making a face,Janine,,
8761,179-534,5544574287152993687.xml,1714.14,1718.06,makes it all the more thrilling. ,,a man is talking to a woman and she is smiling,,,Phil
8762,179-535,5544574287152993687.xml,1718.07,1719.19,What are you after? ,,a woman is smiling and making a face,Janine,,
8763,179-536,5544574287152993687.xml,1719.2,1721.21,Not your money  if that's what you think.,,a man is talking to a woman and she is smiling,,,Phil
8764,179-537,5544574287152993687.xml,1721.22,1725.1,"What I'm after, Philip... ",,a woman is smiling and making a face,Janine,,
8765,179-538,5544574287152993687.xml,1725.11,1730.04,is you. ,,a man is talking to a woman and she is smiling,,,Phil
8766,179-539,5544574287152993687.xml,1730.05,1735.03,Assalam o Aliakum. I'm Tamwar.  Not so tight!  You'll cut off the blood supply.,,a man is looking at a woman and then she looks away,Ryan,,
8767,179-540,5544574287152993687.xml,1735.04,1736.09,,,a man is talking to another man and then he turns away,,,
8768,179-541,5544574287152993687.xml,1736.1,1737.21,Let go! ,,a man is talking to another man and then he turns away,Ryan,,
8769,179-542,5544574287152993687.xml,1737.22,1741.03,"All right, now smile. ",,a man standing in a kitchen with a refrigerator,Ryan,,
8770,179-543,5544574287152993687.xml,1741.04,1742.21,,,a man is looking at another man who is smiling,,,
8771,179-544,5544574287152993687.xml,1742.22,1744.03,,,a man in a suit and tie standing next to a woman,Ryan,,
8772,179-545,5544574287152993687.xml,1744.04,1747.04,"Less tense.  I am tense. Oh, look, little bit of nerves is OK, us fathers like that.",,a man is talking to another man in a room,Ryan,,
8773,179-546,5544574287152993687.xml,1747.05,1755.22,"But too nervous and we'll think  you're a serial killer. I know, try this... ",,a man is dancing in a kitchen,Ryan,,
8774,179-547,5544574287152993687.xml,1755.23,1756.19,,,a man is sitting at a table with a bowl of cereal,Ryan,,
8775,179-548,5544574287152993687.xml,1756.2,1758.06,Ready? ,,a man is talking to another man and then he smiles,Ryan,,
8776,179-549,5544574287152993687.xml,1758.07,1762.07,Why?  Just an old trick that my father taught me. It relaxes the facial muscles. Have a go.,,a man is sitting at a table with a drink in his hand,Ryan,,
8777,179-550,5544574287152993687.xml,1762.08,1763.14,,,a man is looking at a woman and then he looks away,Ryan,,
8778,179-551,5544574287152993687.xml,1763.15,1764.1,,,a man is putting a bowl of food in a bowl,Ryan,,
8779,179-552,5544574287152993687.xml,1764.11,1774.12,"Oh, come on.  What on earth?  Tamwar's having dinner with  Afia and her dad tonight.",,a group of people standing around a table,Ryan,,
8780,179-553,5544574287152993687.xml,1774.13,1776.1,It's too short notice. We can't  be expected to drop everything.,,a man is walking in a room and then he looks away,,,
8781,179-554,5544574287152993687.xml,1776.11,1777.13,,,a man is walking in a room with a lot of people,Ryan,,
8782,179-555,5544574287152993687.xml,1777.14,1778.22,,,a woman is talking to a man and he is smiling,Ryan,,
8783,179-556,5544574287152993687.xml,1778.23,1781.22,What? ,,a man is taking a picture of another man,,,
8784,179-557,5544574287152993687.xml,1781.23,1787.1,I didn't think you'd want to come.  And Afia's father...has he no  consideration for our feelings?,,a man is dancing in a kitchen,Stacey Ryan,,
8785,179-558,5544574287152993687.xml,1787.11,1789.17,"Oh, come on Zee, it's not like their  relationship's on a formal footing. It's still polite to ask, isn't it?",,a man is kissing a woman s hand,Ryan,,
8786,179-559,5544574287152993687.xml,1789.18,1795.05,"I wonder about the suitability  of this girl, if her family behave this way.",,a man is dancing in a kitchen,Ryan,,
8787,179-560,5544574287152993687.xml,1795.06,1798.21,"I'm going to go open the stall.  It's too early, Tamwar.",,a man is talking to another man and then he turns away,Ryan,,
8788,179-561,5544574287152993687.xml,1798.22,1801.19,Tamwar! What did I say? ,,a man is dancing in a kitchen,Ryan,,
8789,179-562,5544574287152993687.xml,1801.2,1804.07,"He's terrified about tonight,  and you're not helping.",,a man is drinking from a straw,Ryan,,
8790,179-563,5544574287152993687.xml,1804.08,1805.16,,,a woman is talking to a man and he is smiling,Ryan,,
8791,179-564,5544574287152993687.xml,1805.17,1809.11,"We should be there.  Oh, come on, Afia's dad's perfectly respectable.",,a man in a kitchen holding a blender,Ryan,,
8792,179-565,5544574287152993687.xml,1809.12,1811.22,"He's a surgeon, remember? Bushra  knows a little bit about him, why don't you talk to her?""",,a woman is dancing in a room,,,
8793,179-566,5544574287152993687.xml,1811.23,1813.11,,,a man in a kitchen holding a blender,Ryan,,
8794,179-567,5544574287152993687.xml,1813.12,1814.2,,,a woman is dancing in a kitchen,,,
8795,179-568,5544574287152993687.xml,1814.21,1815.16,"Maybe later. I've got things to do.  What things? Things, all right? I have things...shopping.",,a man is drinking from a straw,Ryan,,
8796,179-569,5544574287152993687.xml,1815.17,1818.1,,,a woman is talking to a man and he is smiling,,,
8797,179-570,5544574287152993687.xml,1818.11,1819.19,,,a man is drinking from a straw,Ryan,,
8798,179-571,5544574287152993687.xml,1819.2,1825.07,,,a man is holding a cat and a woman is watching,Ryan,,
8799,179-572,5544574287152993687.xml,1825.08,1827.03,,,a man is dancing in front of a group of people,,,
